algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,perf_variation
spr,kripke,1,2,0,512,64,25.63443,16,2.659611371841155
pak,kripke,1,2,0,512,64,24.78036,16,3.5136813718411517
rand,kripke,1,2,0,512,64,25.97384,16,2.3202013718411543
spr,kripke,2,1,0,512,64,25.09542,16,3.1986213718411527
pak,kripke,2,1,0,512,64,24.86443,16,3.4296113718411547
rand,kripke,2,1,0,512,64,25.55687,16,2.7371713718411534
spr,kripke,3,0,0,512,64,25.06938,16,3.2246613718411545
pak,kripke,3,0,0,512,64,24.6653,16,3.628741371841155
rand,kripke,3,0,0,512,64,25.51332,16,2.780721371841153
spr,kripke,4,0,1,512,64,25.18341,16,3.110631371841155
pak,kripke,4,0,1,512,64,24.5093,16,3.784741371841154
rand,kripke,4,0,1,512,64,25.09419,16,3.1998513718411523
spr,kripke,5,0,2,512,64,25.15639,16,3.137651371841155
pak,kripke,5,0,2,512,64,24.67033,16,3.6237113718411536
rand,kripke,5,0,2,512,64,24.76332,16,3.530721371841153
spr,kripke,1,2,0,512,80,22.42323,16,5.870811371841153
pak,kripke,1,2,0,512,80,22.15717,16,6.136871371841153
rand,kripke,1,2,0,512,80,22.41762,16,5.876421371841154
spr,kripke,2,1,0,512,80,22.17824,16,6.115801371841155
pak,kripke,2,1,0,512,80,22.1832,16,6.110841371841154
rand,kripke,2,1,0,512,80,22.40802,16,5.886021371841153
spr,kripke,3,0,0,512,80,22.50215,16,5.791891371841153
pak,kripke,3,0,0,512,80,21.97618,16,6.317861371841154
rand,kripke,3,0,0,512,80,22.13315,16,6.160891371841153
spr,kripke,4,0,1,512,80,22.44626,16,5.847781371841155
pak,kripke,4,0,1,512,80,22.64716,16,5.646881371841154
rand,kripke,4,0,1,512,80,22.0809,16,6.213141371841154
spr,kripke,5,0,2,512,80,22.3562,16,5.937841371841152
pak,kripke,5,0,2,512,80,22.51423,16,5.779811371841152
rand,kripke,5,0,2,512,80,22.46098,16,5.833061371841154
pak,kripke,1,2,0,512,115,22.19714,16,6.096901371841152
rand,kripke,1,2,0,512,115,21.85705,16,6.436991371841152
spr,kripke,2,1,0,512,115,22.21624,16,6.077801371841154
pak,kripke,2,1,0,512,115,21.79421,16,6.499831371841154
rand,kripke,2,1,0,512,115,21.90953,16,6.384511371841153
spr,kripke,3,0,0,512,115,22.28519,16,6.008851371841153
pak,kripke,3,0,0,512,115,21.75429,16,6.539751371841152
rand,kripke,3,0,0,512,115,21.81699,16,6.477051371841153
spr,kripke,4,0,1,512,115,21.74921,16,6.544831371841152
pak,kripke,4,0,1,512,115,21.84123,16,6.452811371841154
rand,kripke,4,0,1,512,115,21.77087,16,6.523171371841155
spr,kripke,5,0,2,512,115,21.99923,16,6.294811371841153
pak,kripke,5,0,2,512,115,21.91012,16,6.383921371841154
rand,kripke,5,0,2,512,115,21.94882,16,6.345221371841152
spr,kripke,1,2,0,512,64,28.76854,20,0.47449862815884813
pak,kripke,1,2,0,512,64,27.83854,20,0.45550137184115513
rand,kripke,1,2,0,512,64,28.54392,20,0.24987862815884654
spr,kripke,2,1,0,512,64,29.1616,20,0.8675586281588465
pak,kripke,2,1,0,512,64,28.16153,20,0.13251137184115436
rand,kripke,2,1,0,512,64,28.91447,20,0.620428628158848
spr,kripke,3,0,0,512,64,28.96253,20,0.6684886281588476
pak,kripke,3,0,0,512,64,27.76543,20,0.5286113718411549
rand,kripke,3,0,0,512,64,29.18151,20,0.887468628158846
spr,kripke,4,0,1,512,64,28.84757,20,0.5535286281588476
pak,kripke,4,0,1,512,64,27.81514,20,0.4789013718411539
rand,kripke,4,0,1,512,64,28.88754,20,0.5934986281588479
spr,kripke,5,0,2,512,64,28.60693,20,0.312888628158845
pak,kripke,5,0,2,512,64,28.81961,20,0.5255686281588474
rand,kripke,5,0,2,512,64,28.6969,20,0.402858628158846
spr,kripke,1,2,0,512,80,24.74035,20,3.553691371841154
pak,kripke,1,2,0,512,80,24.4353,20,3.858741371841152
rand,kripke,1,2,0,512,80,24.40125,20,3.8927913718411524
spr,kripke,2,1,0,512,80,24.55019,20,3.743851371841153
pak,kripke,2,1,0,512,80,23.98837,20,4.305671371841154
rand,kripke,2,1,0,512,80,24.40504,20,3.889001371841154
spr,kripke,3,0,0,512,80,24.41935,20,3.874691371841152
pak,kripke,3,0,0,512,80,24.44124,20,3.852801371841153
rand,kripke,3,0,0,512,80,24.23922,20,4.054821371841154
spr,kripke,4,0,1,512,80,24.38836,20,3.9056813718411547
pak,kripke,4,0,1,512,80,24.14633,20,4.1477113718411545
rand,kripke,4,0,1,512,80,24.10177,20,4.192271371841155
spr,kripke,5,0,2,512,80,24.28634,20,4.007701371841154
pak,kripke,5,0,2,512,80,24.42634,20,3.8677013718411537
rand,kripke,5,0,2,512,80,24.32642,20,3.9676213718411546
spr,kripke,1,2,0,512,115,23.45128,20,4.842761371841153
pak,kripke,1,2,0,512,115,23.52417,20,4.769871371841152
rand,kripke,1,2,0,512,115,23.3782,20,4.915841371841154
spr,kripke,2,1,0,512,115,23.61427,20,4.679771371841152
pak,kripke,2,1,0,512,115,23.53024,20,4.763801371841154
rand,kripke,2,1,0,512,115,23.57727,20,4.716771371841155
spr,kripke,3,0,0,512,115,23.60728,20,4.686761371841154
pak,kripke,3,0,0,512,115,23.38328,20,4.910761371841154
rand,kripke,3,0,0,512,115,23.23823,20,5.055811371841152
spr,kripke,4,0,1,512,115,23.32122,20,4.972821371841153
pak,kripke,4,0,1,512,115,23.52434,20,4.769701371841155
rand,kripke,4,0,1,512,115,23.4249,20,4.8691413718411525
spr,kripke,5,0,2,512,115,23.36532,20,4.928721371841153
pak,kripke,5,0,2,512,115,23.53927,20,4.754771371841155
rand,kripke,5,0,2,512,115,23.3896,20,4.904441371841152
spr,kripke,1,2,0,512,64,32.96883,24,4.6747886281588436
pak,kripke,1,2,0,512,64,31.96664,24,3.6725986281588483
rand,kripke,1,2,0,512,64,33.72563,24,5.431588628158849
spr,kripke,2,1,0,512,64,32.7708,24,4.476758628158848
pak,kripke,2,1,0,512,64,32.10425,24,3.810208628158847
rand,kripke,2,1,0,512,64,33.10359,24,4.8095486281588435
spr,kripke,3,0,0,512,64,32.95495,24,4.660908628158843
pak,kripke,3,0,0,512,64,31.97684,24,3.682798628158846
rand,kripke,3,0,0,512,64,33.07455,24,4.780508628158849
spr,kripke,4,0,1,512,64,32.78377,24,4.4897286281588435
pak,kripke,4,0,1,512,64,32.19669,24,3.9026486281588433
rand,kripke,4,0,1,512,64,33.30378,24,5.00973862815885
spr,kripke,5,0,2,512,64,32.84288,24,4.5488386281588475
pak,kripke,5,0,2,512,64,31.91977,24,3.6257286281588463
rand,kripke,5,0,2,512,64,32.37991,24,4.085868628158849
spr,kripke,1,2,0,512,80,27.03543,24,1.2586113718411518
pak,kripke,1,2,0,512,80,26.68248,24,1.6115613718411517
rand,kripke,1,2,0,512,80,27.38438,24,0.9096613718411533
spr,kripke,2,1,0,512,80,27.12843,24,1.1656113718411518
pak,kripke,2,1,0,512,80,26.71748,24,1.576561371841155
rand,kripke,2,1,0,512,80,27.90329,24,0.39075137184115505
spr,kripke,3,0,0,512,80,27.3734,24,0.9206413718411532
pak,kripke,3,0,0,512,80,26.70039,24,1.5936513718411547
rand,kripke,3,0,0,512,80,27.72637,24,0.5676713718411541
spr,kripke,4,0,1,512,80,27.10845,24,1.1855913718411522
pak,kripke,4,0,1,512,80,26.79153,24,1.5025113718411518
rand,kripke,4,0,1,512,80,27.1295,24,1.1645413718411532
spr,kripke,5,0,2,512,80,27.23952,24,1.0545213718411546
pak,kripke,5,0,2,512,80,26.55147,24,1.742571371841155
rand,kripke,5,0,2,512,80,27.44898,24,0.8450613718411546
spr,kripke,1,2,0,512,115,25.20936,24,3.084681371841153
pak,kripke,1,2,0,512,115,25.33038,24,2.9636613718411517
rand,kripke,1,2,0,512,115,25.04519,24,3.248851371841152
spr,kripke,2,1,0,512,115,24.99132,24,3.3027213718411517
pak,kripke,2,1,0,512,115,25.2294,24,3.064641371841155
rand,kripke,2,1,0,512,115,25.10494,24,3.1891013718411543
spr,kripke,3,0,0,512,115,24.98332,24,3.3107213718411543
pak,kripke,3,0,0,512,115,25.02735,24,3.266691371841155
rand,kripke,3,0,0,512,115,25.08285,24,3.211191371841153
spr,kripke,4,0,1,512,115,25.02327,24,3.2707713718411533
pak,kripke,4,0,1,512,115,25.30433,24,2.989711371841153
rand,kripke,4,0,1,512,115,24.96013,24,3.333911371841154
spr,kripke,5,0,2,512,115,25.14637,24,3.1476713718411524
pak,kripke,5,0,2,512,115,25.06333,24,3.230711371841153
rand,kripke,5,0,2,512,115,25.17106,24,3.1229813718411528
rand,kripke,1,2,0,512,64,25.4249,16,2.8691413718411525
rand,kripke,2,1,0,512,64,25.69109,16,2.6029513718411543
rand,kripke,3,0,0,512,64,25.42306,16,2.870981371841154
rand,kripke,4,0,1,512,64,25.25618,16,3.037861371841153
rand,kripke,5,0,2,512,64,25.29508,16,2.9989613718411547
rand,kripke,1,2,0,512,80,22.30607,16,5.987971371841155
rand,kripke,2,1,0,512,80,22.10503,16,6.189011371841154
rand,kripke,3,0,0,512,80,22.4929,16,5.801141371841155
rand,kripke,4,0,1,512,80,22.00077,16,6.293271371841154
rand,kripke,5,0,2,512,80,22.40225,16,5.891791371841155
rand,kripke,1,2,0,512,115,22.27208,16,6.021961371841154
rand,kripke,2,1,0,512,115,21.7808,16,6.513241371841154
rand,kripke,3,0,0,512,115,22.00604,16,6.288001371841155
rand,kripke,4,0,1,512,115,21.92096,16,6.3730813718411525
rand,kripke,5,0,2,512,115,21.69916,16,6.594881371841154
rand,kripke,1,2,0,512,64,29.24745,20,0.9534086281588472
rand,kripke,2,1,0,512,64,29.21715,20,0.9231086281588468
rand,kripke,3,0,0,512,64,29.21153,20,0.9174886281588464
rand,kripke,4,0,1,512,64,28.8196,20,0.5255586281588478
rand,kripke,5,0,2,512,64,29.48254,20,1.1884986281588468
rand,kripke,1,2,0,512,80,24.68912,20,3.6049213718411544
rand,kripke,2,1,0,512,80,24.41008,20,3.8839613718411528
rand,kripke,3,0,0,512,80,24.58534,20,3.708701371841155
rand,kripke,4,0,1,512,80,24.57297,20,3.721071371841152
rand,kripke,5,0,2,512,80,24.50203,20,3.792011371841152
rand,kripke,1,2,0,512,115,23.63925,20,4.654791371841153
rand,kripke,2,1,0,512,115,23.4059,20,4.888141371841154
rand,kripke,3,0,0,512,115,23.25985,20,5.034191371841153
