algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
spr,kripke,1,2,0,512,64,25.63443,16,28.308108187919462,2.6736781879194638
pak,kripke,1,2,0,512,64,24.78036,16,28.320762733333336,3.540402733333334
rand,kripke,1,2,0,512,64,25.97384,16,28.270103490196078,2.296263490196079
spr,kripke,2,1,0,512,64,25.09542,16,28.308108187919462,3.2126881879194613
pak,kripke,2,1,0,512,64,24.86443,16,28.320762733333336,3.456332733333337
rand,kripke,2,1,0,512,64,25.55687,16,28.270103490196078,2.713233490196078
spr,kripke,3,0,0,512,64,25.06938,16,28.308108187919462,3.238728187919463
pak,kripke,3,0,0,512,64,24.6653,16,28.320762733333336,3.655462733333337
rand,kripke,3,0,0,512,64,25.51332,16,28.270103490196078,2.756783490196078
spr,kripke,4,0,1,512,64,25.18341,16,28.308108187919462,3.1246981879194635
pak,kripke,4,0,1,512,64,24.5093,16,28.320762733333336,3.811462733333336
rand,kripke,4,0,1,512,64,25.09419,16,28.270103490196078,3.175913490196077
spr,kripke,5,0,2,512,64,25.15639,16,28.308108187919462,3.151718187919464
pak,kripke,5,0,2,512,64,24.67033,16,28.320762733333336,3.6504327333333357
rand,kripke,5,0,2,512,64,24.76332,16,28.270103490196078,3.506783490196078
spr,kripke,1,2,0,512,80,22.42323,16,28.308108187919462,5.884878187919462
pak,kripke,1,2,0,512,80,22.15717,16,28.320762733333336,6.163592733333335
rand,kripke,1,2,0,512,80,22.41762,16,28.270103490196078,5.852483490196079
spr,kripke,2,1,0,512,80,22.17824,16,28.308108187919462,6.129868187919463
pak,kripke,2,1,0,512,80,22.1832,16,28.320762733333336,6.137562733333336
rand,kripke,2,1,0,512,80,22.40802,16,28.270103490196078,5.862083490196078
spr,kripke,3,0,0,512,80,22.50215,16,28.308108187919462,5.805958187919462
pak,kripke,3,0,0,512,80,21.97618,16,28.320762733333336,6.344582733333336
rand,kripke,3,0,0,512,80,22.13315,16,28.270103490196078,6.136953490196078
spr,kripke,4,0,1,512,80,22.44626,16,28.308108187919462,5.861848187919463
pak,kripke,4,0,1,512,80,22.64716,16,28.320762733333336,5.673602733333336
rand,kripke,4,0,1,512,80,22.0809,16,28.270103490196078,6.189203490196078
spr,kripke,5,0,2,512,80,22.3562,16,28.308108187919462,5.951908187919461
pak,kripke,5,0,2,512,80,22.51423,16,28.320762733333336,5.806532733333334
rand,kripke,5,0,2,512,80,22.46098,16,28.270103490196078,5.809123490196079
pak,kripke,1,2,0,512,115,22.19714,16,28.320762733333336,6.123622733333335
rand,kripke,1,2,0,512,115,21.85705,16,28.270103490196078,6.413053490196077
spr,kripke,2,1,0,512,115,22.21624,16,28.308108187919462,6.091868187919463
pak,kripke,2,1,0,512,115,21.79421,16,28.320762733333336,6.526552733333336
rand,kripke,2,1,0,512,115,21.90953,16,28.270103490196078,6.360573490196078
spr,kripke,3,0,0,512,115,22.28519,16,28.308108187919462,6.022918187919462
pak,kripke,3,0,0,512,115,21.75429,16,28.320762733333336,6.566472733333335
rand,kripke,3,0,0,512,115,21.81699,16,28.270103490196078,6.453113490196078
spr,kripke,4,0,1,512,115,21.74921,16,28.308108187919462,6.5588981879194606
pak,kripke,4,0,1,512,115,21.84123,16,28.320762733333336,6.479532733333336
rand,kripke,4,0,1,512,115,21.77087,16,28.270103490196078,6.4992334901960795
spr,kripke,5,0,2,512,115,21.99923,16,28.308108187919462,6.308878187919461
pak,kripke,5,0,2,512,115,21.91012,16,28.320762733333336,6.4106427333333365
rand,kripke,5,0,2,512,115,21.94882,16,28.270103490196078,6.321283490196077
spr,kripke,1,2,0,512,64,28.76854,20,28.308108187919462,0.4604318120805395
pak,kripke,1,2,0,512,64,27.83854,20,28.320762733333336,0.4822227333333373
rand,kripke,1,2,0,512,64,28.54392,20,28.270103490196078,0.2738165098039218
spr,kripke,2,1,0,512,64,29.1616,20,28.308108187919462,0.8534918120805379
pak,kripke,2,1,0,512,64,28.16153,20,28.320762733333336,0.15923273333333654
rand,kripke,2,1,0,512,64,28.91447,20,28.270103490196078,0.6443665098039233
spr,kripke,3,0,0,512,64,28.96253,20,28.308108187919462,0.654421812080539
pak,kripke,3,0,0,512,64,27.76543,20,28.320762733333336,0.5553327333333371
rand,kripke,3,0,0,512,64,29.18151,20,28.270103490196078,0.9114065098039212
spr,kripke,4,0,1,512,64,28.84757,20,28.308108187919462,0.539461812080539
pak,kripke,4,0,1,512,64,27.81514,20,28.320762733333336,0.5056227333333361
rand,kripke,4,0,1,512,64,28.88754,20,28.270103490196078,0.6174365098039232
spr,kripke,5,0,2,512,64,28.60693,20,28.308108187919462,0.2988218120805364
pak,kripke,5,0,2,512,64,28.81961,20,28.320762733333336,0.49884726666666523
rand,kripke,5,0,2,512,64,28.6969,20,28.270103490196078,0.42679650980392125
spr,kripke,1,2,0,512,80,24.74035,20,28.308108187919462,3.5677581879194626
pak,kripke,1,2,0,512,80,24.4353,20,28.320762733333336,3.885462733333334
rand,kripke,1,2,0,512,80,24.40125,20,28.270103490196078,3.868853490196077
spr,kripke,2,1,0,512,80,24.55019,20,28.308108187919462,3.7579181879194614
pak,kripke,2,1,0,512,80,23.98837,20,28.320762733333336,4.332392733333336
rand,kripke,2,1,0,512,80,24.40504,20,28.270103490196078,3.8650634901960785
spr,kripke,3,0,0,512,80,24.41935,20,28.308108187919462,3.8887581879194606
pak,kripke,3,0,0,512,80,24.44124,20,28.320762733333336,3.879522733333335
rand,kripke,3,0,0,512,80,24.23922,20,28.270103490196078,4.030883490196079
spr,kripke,4,0,1,512,80,24.38836,20,28.308108187919462,3.9197481879194633
pak,kripke,4,0,1,512,80,24.14633,20,28.320762733333336,4.174432733333337
rand,kripke,4,0,1,512,80,24.10177,20,28.270103490196078,4.16833349019608
spr,kripke,5,0,2,512,80,24.28634,20,28.308108187919462,4.021768187919463
pak,kripke,5,0,2,512,80,24.42634,20,28.320762733333336,3.894422733333336
rand,kripke,5,0,2,512,80,24.32642,20,28.270103490196078,3.9436834901960793
spr,kripke,1,2,0,512,115,23.45128,20,28.308108187919462,4.8568281879194615
pak,kripke,1,2,0,512,115,23.52417,20,28.320762733333336,4.796592733333334
rand,kripke,1,2,0,512,115,23.3782,20,28.270103490196078,4.8919034901960785
spr,kripke,2,1,0,512,115,23.61427,20,28.308108187919462,4.693838187919461
pak,kripke,2,1,0,512,115,23.53024,20,28.320762733333336,4.7905227333333364
rand,kripke,2,1,0,512,115,23.57727,20,28.270103490196078,4.6928334901960795
spr,kripke,3,0,0,512,115,23.60728,20,28.308108187919462,4.700828187919463
pak,kripke,3,0,0,512,115,23.38328,20,28.320762733333336,4.937482733333336
rand,kripke,3,0,0,512,115,23.23823,20,28.270103490196078,5.031873490196077
spr,kripke,4,0,1,512,115,23.32122,20,28.308108187919462,4.986888187919462
pak,kripke,4,0,1,512,115,23.52434,20,28.320762733333336,4.796422733333337
rand,kripke,4,0,1,512,115,23.4249,20,28.270103490196078,4.845203490196077
spr,kripke,5,0,2,512,115,23.36532,20,28.308108187919462,4.9427881879194615
pak,kripke,5,0,2,512,115,23.53927,20,28.320762733333336,4.781492733333337
rand,kripke,5,0,2,512,115,23.3896,20,28.270103490196078,4.880503490196077
spr,kripke,1,2,0,512,64,32.96883,24,28.308108187919462,4.660721812080535
pak,kripke,1,2,0,512,64,31.96664,24,28.320762733333336,3.645877266666666
rand,kripke,1,2,0,512,64,33.72563,24,28.270103490196078,5.455526509803924
spr,kripke,2,1,0,512,64,32.7708,24,28.308108187919462,4.462691812080539
pak,kripke,2,1,0,512,64,32.10425,24,28.320762733333336,3.783487266666665
rand,kripke,2,1,0,512,64,33.10359,24,28.270103490196078,4.833486509803919
spr,kripke,3,0,0,512,64,32.95495,24,28.308108187919462,4.646841812080535
pak,kripke,3,0,0,512,64,31.97684,24,28.320762733333336,3.6560772666666637
rand,kripke,3,0,0,512,64,33.07455,24,28.270103490196078,4.804446509803924
spr,kripke,4,0,1,512,64,32.78377,24,28.308108187919462,4.475661812080535
pak,kripke,4,0,1,512,64,32.19669,24,28.320762733333336,3.875927266666661
rand,kripke,4,0,1,512,64,33.30378,24,28.270103490196078,5.033676509803925
spr,kripke,5,0,2,512,64,32.84288,24,28.308108187919462,4.534771812080539
pak,kripke,5,0,2,512,64,31.91977,24,28.320762733333336,3.599007266666664
rand,kripke,5,0,2,512,64,32.37991,24,28.270103490196078,4.109806509803924
spr,kripke,1,2,0,512,80,27.03543,24,28.308108187919462,1.2726781879194604
pak,kripke,1,2,0,512,80,26.68248,24,28.320762733333336,1.6382827333333339
rand,kripke,1,2,0,512,80,27.38438,24,28.270103490196078,0.885723490196078
spr,kripke,2,1,0,512,80,27.12843,24,28.308108187919462,1.1796781879194604
pak,kripke,2,1,0,512,80,26.71748,24,28.320762733333336,1.6032827333333373
rand,kripke,2,1,0,512,80,27.90329,24,28.270103490196078,0.3668134901960798
spr,kripke,3,0,0,512,80,27.3734,24,28.308108187919462,0.9347081879194619
pak,kripke,3,0,0,512,80,26.70039,24,28.320762733333336,1.6203727333333369
rand,kripke,3,0,0,512,80,27.72637,24,28.270103490196078,0.5437334901960789
spr,kripke,4,0,1,512,80,27.10845,24,28.308108187919462,1.1996581879194608
pak,kripke,4,0,1,512,80,26.79153,24,28.320762733333336,1.529232733333334
rand,kripke,4,0,1,512,80,27.1295,24,28.270103490196078,1.140603490196078
spr,kripke,5,0,2,512,80,27.23952,24,28.308108187919462,1.0685881879194632
pak,kripke,5,0,2,512,80,26.55147,24,28.320762733333336,1.7692927333333373
rand,kripke,5,0,2,512,80,27.44898,24,28.270103490196078,0.8211234901960793
spr,kripke,1,2,0,512,115,25.20936,24,28.308108187919462,3.098748187919462
pak,kripke,1,2,0,512,115,25.33038,24,28.320762733333336,2.990382733333334
rand,kripke,1,2,0,512,115,25.04519,24,28.270103490196078,3.2249134901960765
spr,kripke,2,1,0,512,115,24.99132,24,28.308108187919462,3.3167881879194603
pak,kripke,2,1,0,512,115,25.2294,24,28.320762733333336,3.0913627333333373
rand,kripke,2,1,0,512,115,25.10494,24,28.270103490196078,3.165163490196079
spr,kripke,3,0,0,512,115,24.98332,24,28.308108187919462,3.324788187919463
pak,kripke,3,0,0,512,115,25.02735,24,28.320762733333336,3.293412733333337
rand,kripke,3,0,0,512,115,25.08285,24,28.270103490196078,3.1872534901960776
spr,kripke,4,0,1,512,115,25.02327,24,28.308108187919462,3.284838187919462
pak,kripke,4,0,1,512,115,25.30433,24,28.320762733333336,3.0164327333333354
rand,kripke,4,0,1,512,115,24.96013,24,28.270103490196078,3.3099734901960787
spr,kripke,5,0,2,512,115,25.14637,24,28.308108187919462,3.161738187919461
pak,kripke,5,0,2,512,115,25.06333,24,28.320762733333336,3.257432733333335
rand,kripke,5,0,2,512,115,25.17106,24,28.270103490196078,3.0990434901960775
rand,kripke,1,2,0,512,64,25.4249,16,28.270103490196078,2.845203490196077
rand,kripke,2,1,0,512,64,25.69109,16,28.270103490196078,2.579013490196079
rand,kripke,3,0,0,512,64,25.42306,16,28.270103490196078,2.8470434901960786
rand,kripke,4,0,1,512,64,25.25618,16,28.270103490196078,3.0139234901960776
rand,kripke,5,0,2,512,64,25.29508,16,28.270103490196078,2.9750234901960795
rand,kripke,1,2,0,512,80,22.30607,16,28.270103490196078,5.96403349019608
rand,kripke,2,1,0,512,80,22.10503,16,28.270103490196078,6.165073490196079
rand,kripke,3,0,0,512,80,22.4929,16,28.270103490196078,5.777203490196079
rand,kripke,4,0,1,512,80,22.00077,16,28.270103490196078,6.269333490196079
rand,kripke,5,0,2,512,80,22.40225,16,28.270103490196078,5.8678534901960795
rand,kripke,1,2,0,512,115,22.27208,16,28.270103490196078,5.998023490196079
rand,kripke,2,1,0,512,115,21.7808,16,28.270103490196078,6.489303490196079
rand,kripke,3,0,0,512,115,22.00604,16,28.270103490196078,6.264063490196079
rand,kripke,4,0,1,512,115,21.92096,16,28.270103490196078,6.349143490196077
rand,kripke,5,0,2,512,115,21.69916,16,28.270103490196078,6.570943490196079
rand,kripke,1,2,0,512,64,29.24745,20,28.270103490196078,0.9773465098039225
rand,kripke,2,1,0,512,64,29.21715,20,28.270103490196078,0.947046509803922
rand,kripke,3,0,0,512,64,29.21153,20,28.270103490196078,0.9414265098039216
rand,kripke,4,0,1,512,64,28.8196,20,28.270103490196078,0.5494965098039231
rand,kripke,5,0,2,512,64,29.48254,20,28.270103490196078,1.212436509803922
rand,kripke,1,2,0,512,80,24.68912,20,28.270103490196078,3.580983490196079
rand,kripke,2,1,0,512,80,24.41008,20,28.270103490196078,3.8600234901960775
rand,kripke,3,0,0,512,80,24.58534,20,28.270103490196078,3.6847634901960795
rand,kripke,4,0,1,512,80,24.57297,20,28.270103490196078,3.6971334901960766
rand,kripke,5,0,2,512,80,24.50203,20,28.270103490196078,3.768073490196077
rand,kripke,1,2,0,512,115,23.63925,20,28.270103490196078,4.630853490196078
rand,kripke,2,1,0,512,115,23.4059,20,28.270103490196078,4.864203490196079
rand,kripke,3,0,0,512,115,23.25985,20,28.270103490196078,5.010253490196078
rand,kripke,4,0,1,512,115,23.36396,20,28.270103490196078,4.906143490196079
rand,kripke,5,0,2,512,115,23.33454,20,28.270103490196078,4.935563490196078
rand,kripke,1,2,0,512,64,33.43514,24,28.270103490196078,5.165036509803919
rand,kripke,2,1,0,512,64,33.19879,24,28.270103490196078,4.928686509803924
rand,kripke,3,0,0,512,64,33.55439,24,28.270103490196078,5.28428650980392
rand,kripke,4,0,1,512,64,33.79035,24,28.270103490196078,5.520246509803918
rand,kripke,5,0,2,512,64,33.57971,24,28.270103490196078,5.3096065098039205
rand,kripke,1,2,0,512,80,27.91946,24,28.270103490196078,0.3506434901960773
rand,kripke,2,1,0,512,80,27.37243,24,28.270103490196078,0.8976734901960768
rand,kripke,3,0,0,512,80,27.62826,24,28.270103490196078,0.6418434901960772
rand,kripke,4,0,1,512,80,27.47114,24,28.270103490196078,0.7989634901960798
rand,kripke,5,0,2,512,80,27.1959,24,28.270103490196078,1.0742034901960764
rand,kripke,1,2,0,512,115,25.38519,24,28.270103490196078,2.8849134901960767
rand,kripke,2,1,0,512,115,25.12792,24,28.270103490196078,3.1421834901960786
rand,kripke,3,0,0,512,115,25.07643,24,28.270103490196078,3.1936734901960797
rand,kripke,4,0,1,512,115,25.31132,24,28.270103490196078,2.9587834901960797
rand,kripke,5,0,2,512,115,25.15094,24,28.270103490196078,3.1191634901960796
spr,kripke,1,2,0,1024,64,26.88041,16,28.308108187919462,1.4276981879194608
pak,kripke,1,2,0,1024,64,27.33389,16,28.320762733333336,0.9868727333333354
rand,kripke,1,2,0,1024,64,26.89617,16,28.270103490196078,1.3739334901960767
spr,kripke,2,1,0,1024,64,27.23181,16,28.308108187919462,1.0762981879194626
pak,kripke,2,1,0,1024,64,27.91672,16,28.320762733333336,0.40404273333333407
rand,kripke,2,1,0,1024,64,27.18929,16,28.270103490196078,1.0808134901960784
spr,kripke,3,0,0,1024,64,26.94235,16,28.308108187919462,1.365758187919461
pak,kripke,3,0,0,1024,64,27.77948,16,28.320762733333336,0.5412827333333361
rand,kripke,3,0,0,1024,64,26.98836,16,28.270103490196078,1.281743490196078
spr,kripke,4,0,1,1024,64,26.94407,16,28.308108187919462,1.364038187919462
pak,kripke,4,0,1,1024,64,27.32554,16,28.320762733333336,0.9952227333333354
rand,kripke,4,0,1,1024,64,27.27306,16,28.270103490196078,0.9970434901960772
spr,kripke,5,0,2,1024,64,27.26745,16,28.308108187919462,1.0406581879194619
pak,kripke,5,0,2,1024,64,28.14219,16,28.320762733333336,0.17857273333333623
rand,kripke,5,0,2,1024,64,26.8963,16,28.270103490196078,1.373803490196078
spr,kripke,1,2,0,1024,80,23.76823,16,28.308108187919462,4.539878187919463
pak,kripke,1,2,0,1024,80,24.05828,16,28.320762733333336,4.262482733333336
rand,kripke,1,2,0,1024,80,24.1203,16,28.270103490196078,4.149803490196078
spr,kripke,2,1,0,1024,80,24.28931,16,28.308108187919462,4.018798187919462
pak,kripke,2,1,0,1024,80,24.11773,16,28.320762733333336,4.203032733333334
rand,kripke,2,1,0,1024,80,24.28903,16,28.270103490196078,3.981073490196078
spr,kripke,3,0,0,1024,80,23.98432,16,28.308108187919462,4.323788187919462
pak,kripke,3,0,0,1024,80,24.30636,16,28.320762733333336,4.014402733333334
rand,kripke,3,0,0,1024,80,24.38381,16,28.270103490196078,3.8862934901960777
spr,kripke,4,0,1,1024,80,23.93297,16,28.308108187919462,4.375138187919461
pak,kripke,4,0,1,1024,80,24.49236,16,28.320762733333336,3.828402733333334
rand,kripke,4,0,1,1024,80,24.29106,16,28.270103490196078,3.9790434901960765
spr,kripke,5,0,2,1024,80,23.97231,16,28.308108187919462,4.335798187919462
pak,kripke,5,0,2,1024,80,23.85627,16,28.320762733333336,4.464492733333337
rand,kripke,5,0,2,1024,80,24.12107,16,28.270103490196078,4.149033490196079
spr,kripke,1,2,0,1024,115,23.57201,16,28.308108187919462,4.736098187919463
pak,kripke,1,2,0,1024,115,24.0433,16,28.320762733333336,4.277462733333337
rand,kripke,1,2,0,1024,115,23.89118,16,28.270103490196078,4.37892349019608
spr,kripke,2,1,0,1024,115,23.83828,16,28.308108187919462,4.469828187919461
pak,kripke,2,1,0,1024,115,23.86128,16,28.320762733333336,4.459482733333335
rand,kripke,2,1,0,1024,115,23.80098,16,28.270103490196078,4.469123490196079
spr,kripke,3,0,0,1024,115,23.77827,16,28.308108187919462,4.529838187919463
pak,kripke,3,0,0,1024,115,23.79411,16,28.320762733333336,4.526652733333336
rand,kripke,3,0,0,1024,115,23.65792,16,28.270103490196078,4.612183490196077
spr,kripke,4,0,1,1024,115,23.56444,16,28.308108187919462,4.743668187919461
pak,kripke,4,0,1,1024,115,23.64915,16,28.320762733333336,4.671612733333337
rand,kripke,4,0,1,1024,115,23.73828,16,28.270103490196078,4.5318234901960786
spr,kripke,5,0,2,1024,115,23.78427,16,28.308108187919462,4.523838187919463
pak,kripke,5,0,2,1024,115,23.77703,16,28.320762733333336,4.543732733333336
rand,kripke,5,0,2,1024,115,23.65626,16,28.270103490196078,4.6138434901960785
spr,kripke,1,2,0,1024,64,30.91632,20,28.308108187919462,2.608211812080537
pak,kripke,1,2,0,1024,64,31.21066,20,28.320762733333336,2.889897266666665
rand,kripke,1,2,0,1024,64,31.17807,20,28.270103490196078,2.9079665098039236
spr,kripke,2,1,0,1024,64,30.79268,20,28.308108187919462,2.4845718120805387
pak,kripke,2,1,0,1024,64,30.89379,20,28.320762733333336,2.5730272666666636
rand,kripke,2,1,0,1024,64,30.68318,20,28.270103490196078,2.413076509803922
spr,kripke,3,0,0,1024,64,30.38462,20,28.308108187919462,2.0765118120805397
pak,kripke,3,0,0,1024,64,31.03666,20,28.320762733333336,2.7158972666666656
rand,kripke,3,0,0,1024,64,31.5106,20,28.270103490196078,3.240496509803922
spr,kripke,4,0,1,1024,64,30.9207,20,28.308108187919462,2.612591812080538
pak,kripke,4,0,1,1024,64,30.74266,20,28.320762733333336,2.421897266666665
rand,kripke,4,0,1,1024,64,31.41823,20,28.270103490196078,3.148126509803923
spr,kripke,5,0,2,1024,64,30.51841,20,28.308108187919462,2.2103018120805373
pak,kripke,5,0,2,1024,64,30.85167,20,28.320762733333336,2.530907266666663
rand,kripke,5,0,2,1024,64,30.6813,20,28.270103490196078,2.411196509803922
spr,kripke,1,2,0,1024,80,26.32385,20,28.308108187919462,1.9842581879194618
pak,kripke,1,2,0,1024,80,26.2614,20,28.320762733333336,2.0593627333333373
rand,kripke,1,2,0,1024,80,26.99083,20,28.270103490196078,1.2792734901960792
spr,kripke,2,1,0,1024,80,26.0457,20,28.308108187919462,2.262408187919462
pak,kripke,2,1,0,1024,80,26.1994,20,28.320762733333336,2.121362733333335
rand,kripke,2,1,0,1024,80,26.64767,20,28.270103490196078,1.6224334901960766
spr,kripke,3,0,0,1024,80,26.09881,20,28.308108187919462,2.2092981879194618
pak,kripke,3,0,0,1024,80,26.72244,20,28.320762733333336,1.5983227333333367
rand,kripke,3,0,0,1024,80,26.68723,20,28.270103490196078,1.5828734901960786
spr,kripke,4,0,1,1024,80,26.39145,20,28.308108187919462,1.916658187919463
pak,kripke,4,0,1,1024,80,26.41048,20,28.320762733333336,1.9102827333333359
rand,kripke,4,0,1,1024,80,26.08064,20,28.270103490196078,2.189463490196079
spr,kripke,5,0,2,1024,80,26.29519,20,28.308108187919462,2.0129181879194604
pak,kripke,5,0,2,1024,80,26.68542,20,28.320762733333336,1.635342733333335
rand,kripke,5,0,2,1024,80,26.16205,20,28.270103490196078,2.1080534901960775
spr,kripke,1,2,0,1024,115,25.10784,20,28.308108187919462,3.2002681879194625
pak,kripke,1,2,0,1024,115,25.47104,20,28.320762733333336,2.849722733333337
rand,kripke,1,2,0,1024,115,25.46263,20,28.270103490196078,2.8074734901960774
spr,kripke,2,1,0,1024,115,24.90835,20,28.308108187919462,3.3997581879194634
pak,kripke,2,1,0,1024,115,25.17936,20,28.320762733333336,3.1414027333333365
rand,kripke,2,1,0,1024,115,25.32816,20,28.270103490196078,2.9419434901960777
spr,kripke,3,0,0,1024,115,25.35111,20,28.308108187919462,2.9569981879194636
pak,kripke,3,0,0,1024,115,25.22434,20,28.320762733333336,3.096422733333334
rand,kripke,3,0,0,1024,115,25.09487,20,28.270103490196078,3.175233490196078
spr,kripke,4,0,1,1024,115,24.91434,20,28.308108187919462,3.3937681879194628
pak,kripke,4,0,1,1024,115,25.29449,20,28.320762733333336,3.026272733333336
rand,kripke,4,0,1,1024,115,25.28936,20,28.270103490196078,2.9807434901960796
spr,kripke,5,0,2,1024,115,25.20525,20,28.308108187919462,3.1028581879194626
pak,kripke,5,0,2,1024,115,25.36038,20,28.320762733333336,2.9603827333333363
rand,kripke,5,0,2,1024,115,25.08242,20,28.270103490196078,3.187683490196079
spr,kripke,1,2,0,1024,64,35.00627,24,28.308108187919462,6.698161812080539
pak,kripke,1,2,0,1024,64,35.37391,24,28.320762733333336,7.053147266666667
rand,kripke,1,2,0,1024,64,35.46718,24,28.270103490196078,7.197076509803921
spr,kripke,2,1,0,1024,64,34.89404,24,28.308108187919462,6.585931812080535
pak,kripke,2,1,0,1024,64,35.41289,24,28.320762733333336,7.092127266666662
rand,kripke,2,1,0,1024,64,35.5564,24,28.270103490196078,7.286296509803918
spr,kripke,3,0,0,1024,64,35.28564,24,28.308108187919462,6.977531812080539
pak,kripke,3,0,0,1024,64,35.36392,24,28.320762733333336,7.043157266666665
rand,kripke,3,0,0,1024,64,35.87083,24,28.270103490196078,7.60072650980392
spr,kripke,4,0,1,1024,64,35.03641,24,28.308108187919462,6.7283018120805345
pak,kripke,4,0,1,1024,64,35.63993,24,28.320762733333336,7.319167266666664
rand,kripke,4,0,1,1024,64,36.15373,24,28.270103490196078,7.883626509803925
spr,kripke,5,0,2,1024,64,34.85388,24,28.308108187919462,6.545771812080535
pak,kripke,5,0,2,1024,64,35.36942,24,28.320762733333336,7.0486572666666625
rand,kripke,5,0,2,1024,64,35.9465,24,28.270103490196078,7.676396509803922
spr,kripke,1,2,0,1024,80,29.20858,24,28.308108187919462,0.9004718120805393
pak,kripke,1,2,0,1024,80,29.36344,24,28.320762733333336,1.042677266666665
rand,kripke,1,2,0,1024,80,29.36702,24,28.270103490196078,1.096916509803922
spr,kripke,2,1,0,1024,80,29.15231,24,28.308108187919462,0.8442018120805379
pak,kripke,2,1,0,1024,80,29.10392,24,28.320762733333336,0.7831572666666631
rand,kripke,2,1,0,1024,80,29.4831,24,28.270103490196078,1.2129965098039222
spr,kripke,3,0,0,1024,80,29.14857,24,28.308108187919462,0.8404618120805374
pak,kripke,3,0,0,1024,80,29.14557,24,28.320762733333336,0.8248072666666637
rand,kripke,3,0,0,1024,80,29.20953,24,28.270103490196078,0.9394265098039227
spr,kripke,4,0,1,1024,80,28.96555,24,28.308108187919462,0.6574418120805383
pak,kripke,4,0,1,1024,80,29.21358,24,28.320762733333336,0.8928172666666647
rand,kripke,4,0,1,1024,80,29.01957,24,28.270103490196078,0.7494665098039235
spr,kripke,5,0,2,1024,80,29.10957,24,28.308108187919462,0.8014618120805395
pak,kripke,5,0,2,1024,80,29.15671,24,28.320762733333336,0.8359472666666647
