algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,ft,1,2,0,512,64,61.58,16
pak,ft,1,2,0,512,64,47.44,16
rand,ft,1,2,0,512,64,62.27,16
spr,ft,2,1,0,512,64,56.43,16
pak,ft,2,1,0,512,64,47.04,16
rand,ft,2,1,0,512,64,59.64,16
spr,ft,3,0,0,512,64,49.05,16
pak,ft,3,0,0,512,64,46.05,16
rand,ft,3,0,0,512,64,51.50,16
spr,ft,4,0,1,512,64,41.29,16
pak,ft,4,0,1,512,64,42.38,16
rand,ft,4,0,1,512,64,42.46,16
spr,ft,5,0,2,512,64,41.48,16
pak,ft,5,0,2,512,64,41.76,16
rand,ft,5,0,2,512,64,43.97,16
spr,ft,1,2,0,512,80,57.76,16
pak,ft,1,2,0,512,80,43.42,16
rand,ft,1,2,0,512,80,57.25,16
spr,ft,2,1,0,512,80,51.99,16
pak,ft,2,1,0,512,80,43.56,16
rand,ft,2,1,0,512,80,56.51,16
spr,ft,3,0,0,512,80,44.77,16
pak,ft,3,0,0,512,80,42.48,16
rand,ft,3,0,0,512,80,45.25,16
spr,ft,4,0,1,512,80,36.62,16
pak,ft,4,0,1,512,80,38.50,16
rand,ft,4,0,1,512,80,35.27,16
spr,ft,5,0,2,512,80,36.49,16
pak,ft,5,0,2,512,80,37.73,16
rand,ft,5,0,2,512,80,38.07,16
pak,ft,1,2,0,512,115,43.10,16
rand,ft,1,2,0,512,115,56.87,16
spr,ft,2,1,0,512,115,51.26,16
pak,ft,2,1,0,512,115,43.46,16
rand,ft,2,1,0,512,115,53.99,16
spr,ft,3,0,0,512,115,43.69,16
pak,ft,3,0,0,512,115,42.11,16
rand,ft,3,0,0,512,115,45.11,16
spr,ft,4,0,1,512,115,35.18,16
pak,ft,4,0,1,512,115,38.08,16
rand,ft,4,0,1,512,115,37.06,16
spr,ft,5,0,2,512,115,35.14,16
pak,ft,5,0,2,512,115,37.41,16
rand,ft,5,0,2,512,115,36.86,16
spr,ft,1,2,0,512,64,77.50,20
pak,ft,1,2,0,512,64,60.60,20
rand,ft,1,2,0,512,64,79.76,20
spr,ft,2,1,0,512,64,65.42,20
pak,ft,2,1,0,512,64,58.79,20
rand,ft,2,1,0,512,64,67.19,20
spr,ft,3,0,0,512,64,56.13,20
pak,ft,3,0,0,512,64,54.95,20
rand,ft,3,0,0,512,64,58.67,20
spr,ft,4,0,1,512,64,50.06,20
pak,ft,4,0,1,512,64,52.09,20
rand,ft,4,0,1,512,64,51.81,20
spr,ft,5,0,2,512,64,49.97,20
pak,ft,5,0,2,512,64,51.73,20
rand,ft,5,0,2,512,64,50.38,20
spr,ft,1,2,0,512,80,66.83,20
pak,ft,1,2,0,512,80,55.55,20
rand,ft,1,2,0,512,80,68.58,20
spr,ft,2,1,0,512,80,59.55,20
pak,ft,2,1,0,512,80,54.66,20
rand,ft,2,1,0,512,80,64.35,20
spr,ft,3,0,0,512,80,51.05,20
pak,ft,3,0,0,512,80,50.12,20
rand,ft,3,0,0,512,80,53.24,20
spr,ft,4,0,1,512,80,44.50,20
pak,ft,4,0,1,512,80,46.97,20
rand,ft,4,0,1,512,80,45.33,20
spr,ft,5,0,2,512,80,44.06,20
pak,ft,5,0,2,512,80,46.52,20
rand,ft,5,0,2,512,80,45.33,20
spr,ft,1,2,0,512,115,64.73,20
pak,ft,1,2,0,512,115,54.50,20
rand,ft,1,2,0,512,115,71.20,20
spr,ft,2,1,0,512,115,57.38,20
pak,ft,2,1,0,512,115,52.77,20
rand,ft,2,1,0,512,115,61.44,20
spr,ft,3,0,0,512,115,48.55,20
pak,ft,3,0,0,512,115,48.42,20
rand,ft,3,0,0,512,115,49.53,20
spr,ft,4,0,1,512,115,42.15,20
pak,ft,4,0,1,512,115,44.89,20
rand,ft,4,0,1,512,115,41.00,20
spr,ft,5,0,2,512,115,41.88,20
pak,ft,5,0,2,512,115,44.18,20
rand,ft,5,0,2,512,115,42.71,20
spr,ft,1,2,0,512,64,78.52,24
pak,ft,1,2,0,512,64,62.86,24
rand,ft,1,2,0,512,64,88.83,24
spr,ft,2,1,0,512,64,78.00,24
pak,ft,2,1,0,512,64,62.62,24
rand,ft,2,1,0,512,64,79.11,24
spr,ft,3,0,0,512,64,64.42,24
pak,ft,3,0,0,512,64,59.39,24
rand,ft,3,0,0,512,64,69.23,24
spr,ft,4,0,1,512,64,57.88,24
pak,ft,4,0,1,512,64,56.63,24
rand,ft,4,0,1,512,64,59.51,24
spr,ft,5,0,2,512,64,57.81,24
pak,ft,5,0,2,512,64,56.62,24
rand,ft,5,0,2,512,64,58.09,24
spr,ft,1,2,0,512,80,76.56,24
pak,ft,1,2,0,512,80,56.19,24
rand,ft,1,2,0,512,80,79.61,24
spr,ft,2,1,0,512,80,66.91,24
pak,ft,2,1,0,512,80,55.94,24
rand,ft,2,1,0,512,80,71.68,24
spr,ft,3,0,0,512,80,58.28,24
pak,ft,3,0,0,512,80,52.91,24
rand,ft,3,0,0,512,80,58.80,24
spr,ft,4,0,1,512,80,51.23,24
pak,ft,4,0,1,512,80,50.29,24
rand,ft,4,0,1,512,80,57.38,24
spr,ft,5,0,2,512,80,50.90,24
pak,ft,5,0,2,512,80,50.31,24
rand,ft,5,0,2,512,80,50.13,24
spr,ft,1,2,0,512,115,70.08,24
pak,ft,1,2,0,512,115,51.29,24
rand,ft,1,2,0,512,115,77.17,24
spr,ft,2,1,0,512,115,62.64,24
pak,ft,2,1,0,512,115,51.43,24
rand,ft,2,1,0,512,115,68.15,24
spr,ft,3,0,0,512,115,54.31,24
pak,ft,3,0,0,512,115,48.36,24
rand,ft,3,0,0,512,115,55.42,24
spr,ft,4,0,1,512,115,47.47,24
pak,ft,4,0,1,512,115,45.46,24
rand,ft,4,0,1,512,115,45.34,24
spr,ft,5,0,2,512,115,46.94,24
pak,ft,5,0,2,512,115,45.41,24
rand,ft,5,0,2,512,115,46.17,24
rand,ft,1,2,0,512,64,60.40,16
rand,ft,2,1,0,512,64,60.08,16
rand,ft,3,0,0,512,64,51.65,16
rand,ft,4,0,1,512,64,43.48,16
rand,ft,5,0,2,512,64,43.84,16
rand,ft,1,2,0,512,80,57.60,16
rand,ft,2,1,0,512,80,54.29,16
rand,ft,3,0,0,512,80,47.26,16
